0.001	0.5
5.454180000000000028e+00 2.500000000000000000e+00 -1.000000000000000000e+00
7.041380000000000194e+00 4.500000000000000000e+00 -5.000000000000000000e-01
4.532359999999999722e+00 2.500000000000000000e+00 0.000000000000000000e+00
3.935630000000000184e+00 2.500000000000000000e+00 2.500000000000000000e-01
4.513119999999999798e+00 4.000000000000000000e+00 -2.500000000000000000e-01
4.038059999999999761e+00 2.000000000000000000e+00 -1.500000000000000000e+00
6.509930000000000661e+00 4.000000000000000000e+00 -2.000000000000000000e+00
5.053810000000000358e+00 2.500000000000000000e+00 -2.500000000000000000e-01
4.594100000000000072e+00 3.500000000000000000e+00 -2.000000000000000000e+00
4.053150000000000475e+00 2.500000000000000000e+00 -5.000000000000000000e-01
4.569220000000000503e+00 2.000000000000000000e+00 0.000000000000000000e+00
4.985120000000000218e+00 2.500000000000000000e+00 -1.000000000000000000e+00
4.036500000000000199e+00 2.000000000000000000e+00 -5.000000000000000000e-01
4.492280000000000051e+00 3.000000000000000000e+00 0.000000000000000000e+00
4.953339999999999854e+00 4.000000000000000000e+00 -5.000000000000000000e-01
4.444850000000000634e+00 2.500000000000000000e+00 -1.000000000000000000e+00
5.051090000000000302e+00 4.000000000000000000e+00 -1.500000000000000000e+00
4.583610000000000184e+00 1.500000000000000000e+00 -2.000000000000000000e+00
6.519120000000000026e+00 4.500000000000000000e+00 -2.500000000000000000e-01
5.551190000000000069e+00 3.000000000000000000e+00 -2.500000000000000000e-01
5.977270000000000749e+00 4.000000000000000000e+00 -1.000000000000000000e+00
5.015979999999999883e+00 2.500000000000000000e+00 -1.500000000000000000e+00
5.497329999999999828e+00 3.500000000000000000e+00 -1.000000000000000000e+00
4.511720000000000397e+00 3.500000000000000000e+00 -1.000000000000000000e+00
5.512739999999999974e+00 4.500000000000000000e+00 -1.500000000000000000e+00
4.508960000000000079e+00 2.500000000000000000e+00 -1.500000000000000000e+00
6.017859999999999765e+00 3.500000000000000000e+00 -1.500000000000000000e+00
4.572370000000000267e+00 3.500000000000000000e+00 -5.000000000000000000e-01
4.054590000000000138e+00 2.500000000000000000e+00 -1.500000000000000000e+00
5.517699999999999605e+00 3.500000000000000000e+00 -1.500000000000000000e+00
4.578100000000000058e+00 3.500000000000000000e+00 -1.500000000000000000e+00
5.023080000000000211e+00 3.000000000000000000e+00 -1.000000000000000000e+00
6.026930000000000121e+00 4.500000000000000000e+00 -2.000000000000000000e+00
